@@,itemlabel,item,startdate,enddate
->,Carlos Daniel Camy->Carlos Camy,Q67648306,2020-03-01,
+++,Daniel Caggiani,Q5798178,2022-02-20,
->,Javier García Duchini->Javier García,Q3163146,2015-02-15->2020-02-15,2020-03-01
->,Jorge Larrañaga,Q1703861,2020-03-01->2020-02-15,2021-05-22->2020-03-01
->,Raúl Lorenzo Batlle Lamuraglia->Raúl Batlle,Q110100993,2021-08-23,
->,Sebastián da Silva,Q110101893,2022-02-28->2022-07-28,
->,Sergio Abreu,Q6125284,2020-03-01,2022-02-28->2022-07-28
->,Álvaro Delgado Ceretta->Álvaro Delgado,Q26727956,2020-02-15,2020-03-01
