@@,itemlabel,item,startdate,enddate
+++,Francisco Antonino Vidal,Q2875959,1830,1833
+++,Francisco Antonino Vidal,Q2875959,1834,1835
+++,Antonino Domingo Costa,,1836,1836
+++,Manuel Errazquin,,1837,1838
+++,Manuel Basilio Bustamante,Q887701,1839,1839
+++,Julián Álvarez,Q1713166,1841,1842
+++,Pedro Pablo Vidal,Q2066815,1843,1843
+++,Julián Álvarez,Q1713166,1843,1843
+++,Juan Zufriategui,,1844,1844
+++,Eusebio Cabral,,1845,1845
+++,José M. Martínez,,1852,1852
+++,Atanasio Cruz Aguirre,Q753420,1853,1853
+++,José Encarnación de Zas,,1854,1854
+++,Salvador Tort,,1854,1854
+++,Mateo Magariños,,1855,1855
+++,José G. Palomeque,,1856,1857
+++,Julio C. Pereira,,1858,1860
+++,Marcos Vaeza,,1861,1861
+++,Pedro Fuentes,,1862,1863
+++,Eusebio Cabral,,1868,1868
+++,Antonio Rodríguez Caballero,,1868,1868
+++,Francisco Javier Laviña,,1869,1869
+++,Juan Francisco Rodríguez,,1870,1872
+++,Alejandro Chucarro (h),,1873,1873
+++,Ambrosio Velazco,,1874,1875
+++,Pedro Carve,,1876,1876
+++,José Cándido Bustamante,Q5939129,1879,1879
+++,José Ladislao Terra,Q17995171,1880,1880
+++,Juan Peñalva,,1880,1880
+++,Fernando Torres,,1881,1881
+++,José Cándido Bustamante,Q5939129,1882,1883
+++,Conrado Rucker,,1882,1882
+++,Francisco Javier Laviña,,1884,1884
+++,Alberto Flangini,,1885,1885
+++,Vicente Garzón,,1886,1886
+++,Eduardo Mac Eachen,,1887,1887
+++,Juan Magariños Cervantes,,1888,1889
+++,Eduardo Chucarro,,1890,1890
+++,Juan Alberto Capurro,,1890,1890
+++,Miguel Herrera y Obes,Q1932632,1891,1893
+++,Miguel Herrera y Obes,Q1932632,1894,1894
+++,Felipe Lacueva,,1895,1895
+++,Duncan Stewart,Q885877,1896,1896
+++,Alcides Montero,,1897,1898
+++,José Saavedra,,1899,1901
+++,Benito Cuñarro,,1902,1902
+++,Antonio María Rodríguez,,1903,1904
+++,Antonio María Rodríguez,,1905,1907
+++,Antonio María Rodríguez,,1908,1910
+++,Antonio María Rodríguez,,1911,1911
+++,Eugenio Lagarmilla,,1912,1913
+++,Ricardo Areco,Q6107990,1914,1914
+++,Ramón Saldaña,,1915,1916
+++,Domingo Arena,Q5812704,1917,1918
+++,César Miranda,Q5796309,1919,1919
+++,Carlos María Sorín,,1920,1920
+++,José F. Arias,Q17993385,1921,1921
+++,Héctor R. Gómez,,1922,1922
+++,Gabriel Terra,Q277922,1923,1924
+++,Aureliano Rodríguez Larreta,,1923,1923
+++,César G. Gutiérrez,,1925,1925
+++,Arturo Lussich,Q5707332,1926,1926
+++,Ítalo Perotti,,1926,1927
+++,Alfredo García Morales,Q5667722,1928,1928
+++,Guillermo L. García,,1929,1931
+++,José Otamendi,,1932,1933
+++,Julio César Estol,Q20741113,1934,1936
+++,Julio César Canessa,,1936,1937
+++,Cyro Giambruno,Q1148877,1938,1940
+++,Euclides Sosa Aguiar,,1941,1941
+++,Luis Batlle Berres,Q728925,1943,1945
+++,Juan Francisco Guichón,,1946,1946
+++,Antonio Rubio Pérez,Q250137,1947,1947
+++,José Lissidini,,1948,1950
+++,Arturo Lezama,Q2562362,1951,1951
+++,José Lissidini,,1952,1952
+++,Arturo Lezama,Q2562362,1953,1953
+++,Carlos B. Moreno,,1954,1945
+++,Fermín Sorhueta,,1955,1956
+++,Delfos Roche,,1957,1957
+++,Juan Rodríguez Correa,,1958,1958
+++,Francisco Rodríguez Camusso,Q5867271,1959,1959
+++,Alejandro Zorrilla de San Martín,Q4714706,1960,1960
+++,Ulises Pivel Devoto,,1961,1961
+++,Ciro Ciompi,,1962,1962
+++,Mauro Saravia,,1963,1963
+++,Luis Hierro Gambardella,Q3076962,1964,1964
+++,Luis A. Viera,,1965,1965
+++,Mario Heber,Q6764735,1966,1966
+++,Nelson Costanzo,,1967,1967
+++,Luis Riñón Perret,,1968,1968
+++,Hugo Batalla,Q329128,1969,1969
+++,Fernando Elichirigoity,,1970,1970
+++,Jorge Vila,,1971,1971
+++,Héctor Gutiérrez Ruiz,Q509531,1972,1973
+++,Antonio Marchesano,Q10953609,1985-02-15,1986-03-01
+++,Luis Ituño,,1986-03-01,1987-03-01
+++,Víctor Cortazzo,Q76823736,1987-03-01,1988-03-01
+++,Ernesto Amorín Larrañaga,Q5836753,1988-03-01,1989-03-01
+++,Luis Hierro López,Q961132,1989-03-01,1990-02-15
+++,Héctor Martín Sturla,Q2835880,1990-02-15,1991-03-01
+++,Juan Adolfo Singer,Q5946991,1991-03-01,1992-03-01
+++,Alem García,Q5665807,1992-03-01,1993-03-01
+++,Luis Alberto Heber,Q6700272,1993-03-01,1994-03-01
+++,Mario Cantón,Q5643852,1994-03-01,1995-02-15
+++,Guillermo Stirling,Q329135,1995-02-15,1996-03-01
+++,Jorge Machiñena,Q1703875,1996-03-01,1997-03-01
+++,Carlos Baráibar,Q2918316,1997-03-01,1998-03-01
+++,Jaime Trobo,Q1678762,1998-03-01,1999-03-01
+++,Ariel Lausarot,Q5704061,1999-03-01,2000-02-15
+++,Washington Abdala,Q6166483,2000-02-15,2001-03-01
+++,Gustavo Penadés,Q9001524,2001-03-01,2002-03-01
+++,Guillermo Álvarez Iriarte,Q6441250,2002-03-01,2003-03-01
+++,Jorge Chapper,Q5934773,2003-03-01,2004-03-01
+++,José Amorín Batlle,Q9013534,2004-03-01,2005-02-15
+++,Nora Castro,Q2887070,2005-02-15,2006-03-01
+++,Julio Cardozo Ferreira,Q30064096,2006-03-01,2007-03-01
+++,Enrique Pintado,Q1344096,2007-03-01,2008-03-01
+++,Alberto Perdomo,Q5688201,2008-03-01,2009-03-01
+++,Roque Arregui,Q5638582,2009-03-01,2010-02-15
+++,Ivonne Passada,Q5923354,2010-02-15,2011-03-01
+++,Luis Alberto Lacalle Pou,Q6800406,2011-03-01,2012-03-01
+++,Jorge Orrico,Q6278415,2012-03-01,2013-03-01
+++,Germán Cardoso,Q5878631,2013-03-01,2014-03-01
+++,Aníbal Pereyra,Q5676975,2014-03-01,2015-02-15
+++,Alejandro Sánchez,Q5665525,2015-02-15,2016-03-01
+++,Gerardo Amarilla,Q5878192,2016-03-01,2017-03-01
+++,José Carlos Mahía,Q5938798,2017-03-01,2018-03-01
+++,Jorge Gandini,Q5935143,2018-03-01,2019-03-01
->,Alfredo Fratti->Luis Alfredo Fratti,Q106512605,2021-03-01,2022-03-01
